zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
1001,42.06262,-72.62521,Agawam,MA,Massachusetts,TRUE,,16136,551.7,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1002,42.37633,-72.46462,Amherst,MA,Massachusetts,TRUE,,24726,179.3,25015,Hampshire,"{""25015"": 93.26, ""25011"": 6.74}",Hampshire|Franklin,25015|25011,FALSE,FALSE,America/New_York
1003,42.39135,-72.52327,Amherst,MA,Massachusetts,TRUE,,12458,5981.7,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1005,42.42117,-72.10655,Barre,MA,Massachusetts,TRUE,,4786,42.8,25027,Worcester,"{""25027"": 100}",Worcester,25027,FALSE,FALSE,America/New_York
1007,42.28163,-72.40009,Belchertown,MA,Massachusetts,TRUE,,15406,108.4,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1008,42.18234,-72.95819,Blandford,MA,Massachusetts,TRUE,,1324,8.4,25013,Hampden,"{""25013"": 94.36, ""25003"": 5.64}",Hampden|Berkshire,25013|25003,FALSE,FALSE,America/New_York
1009,42.21133,-72.34189,Bondsville,MA,Massachusetts,TRUE,,790,437.3,25013,Hampden,"{""25013"": 99.06, ""25015"": 0.94}",Hampden|Hampshire,25013|25015,FALSE,FALSE,America/New_York
1010,42.12904,-72.20597,Brimfield,MA,Massachusetts,TRUE,,3694,40.5,25013,Hampden,"{""25013"": 98.73, ""25027"": 1.27}",Hampden|Worcester,25013|25027,FALSE,FALSE,America/New_York
1011,42.30233,-72.96448,Chester,MA,Massachusetts,TRUE,,1205,14.2,25013,Hampden,"{""25013"": 77.54, ""25015"": 22.46}",Hampden|Hampshire,25013|25015,FALSE,FALSE,America/New_York
1012,42.38495,-72.84675,Chesterfield,MA,Massachusetts,TRUE,,387,12.4,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1013,42.16059,-72.60788,Chicopee,MA,Massachusetts,TRUE,,22950,1565.6,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1020,42.17618,-72.56538,Chicopee,MA,Massachusetts,TRUE,,30230,936.7,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1022,42.19721,-72.54249,Chicopee,MA,Massachusetts,TRUE,,2045,164,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1026,42.46858,-72.92296,Cummington,MA,Massachusetts,TRUE,,1005,13.8,25015,Hampshire,"{""25015"": 90.46, ""25003"": 9.54}",Hampshire|Berkshire,25015|25003,FALSE,FALSE,America/New_York
1027,42.29506,-72.74303,Easthampton,MA,Massachusetts,TRUE,,17678,168.2,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1028,42.05967,-72.49899,East Longmeadow,MA,Massachusetts,TRUE,,16283,486.6,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1029,42.19402,-73.05067,East Otis,MA,Massachusetts,TRUE,,652,25.2,25003,Berkshire,"{""25003"": 100}",Berkshire,25003,FALSE,FALSE,America/New_York
1030,42.06869,-72.67967,Feeding Hills,MA,Massachusetts,TRUE,,12374,397.2,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
1031,42.32782,-72.19191,Gilbertville,MA,Massachusetts,TRUE,,1715,98.3,25027,Worcester,"{""25027"": 100}",Worcester,25027,FALSE,FALSE,America/New_York
1032,42.45313,-72.81965,Goshen,MA,Massachusetts,TRUE,,503,20.1,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1033,42.26082,-72.50361,Granby,MA,Massachusetts,TRUE,,6088,84.5,25015,Hampshire,"{""25015"": 100}",Hampshire,25015,FALSE,FALSE,America/New_York
1034,42.0826,-72.95611,Granville,MA,Massachusetts,TRUE,,2100,12,25013,Hampden,"{""25013"": 100}",Hampden,25013,FALSE,FALSE,America/New_York
